id,siteName,siteLink,page_param,article_link,page_param_rule
90,?I?M NH?C-PHIM-SÁCH,https://www.vietnamplus.vn/vanhoa/nhac-phim-sach.vnp,https://www.vietnamplus.vn/vanhoa/nhac-phim-sach/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
91,TRUY?N THÔNG,https://www.vietnamplus.vn/vanhoa/truyenthong.vnp,https://www.vietnamplus.vn/vanhoa/truyenthong/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
92,BÓNG ?Á,https://www.vietnamplus.vn/thethao/bongda.vnp,https://www.vietnamplus.vn/thethao/bongda/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
93,QU?N V?T,https://www.vietnamplus.vn/thethao/quanvot.vnp,https://www.vietnamplus.vn/thethao/quanvot/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
94,KHOA H?C ?NG D?NG,https://www.vietnamplus.vn/khoahoc/ungdung.vnp,https://www.vietnamplus.vn/khoahoc/ungdung/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
95,S?N PH?M M?I,https://www.vietnamplus.vn/congnghe/sanphammoi.vnp,https://www.vietnamplus.vn/congnghe/sanphammoi/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
96,?I?M ??N,https://www.vietnamplus.vn/dulich/diemden.vnp,https://www.vietnamplus.vn/dulich/diemden/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
97,L? H?I,https://www.vietnamplus.vn/dulich/lehoi.vnp,https://www.vietnamplus.vn/dulich/lehoi/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
98,KHÁCH S?N/RESORT,https://www.vietnamplus.vn/dulich/khachsanresort.vnp,https://www.vietnamplus.vn/dulich/khachsanresort/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
99,TOUR M?I,https://www.vietnamplus.vn/dulich/tourmoi.vnp,https://www.vietnamplus.vn/dulich/tourmoi/trang[NEXT_PAGE].vnp,//html/body/div/div/div/div/div[2]/div[2]/div[1]/section/div/article/h2/a,
100,Chính tr?,https://baotintuc.vn/chinh-tri-321ct472.htm,https://baotintuc.vn/chinh-tri-321ct472/trang-[NEXT_PAGE].htm,//li/div/a,
101,Chính sách m?i,https://baotintuc.vn/chinh-sach-moi-603ct472.htm,https://baotintuc.vn/chinh-sach-moi-603ct472/trang-[NEXT_PAGE].htm,//li/div/a,
102,Chính ph? v?i ng??i dân,https://baotintuc.vn/chinh-phu-voi-nguoi-dan-589ct472.htm,https://baotintuc.vn/chinh-phu-voi-nguoi-dan-589ct472/trang-[NEXT_PAGE].htm,//li/div/a,
103,Ph?n h?i - Ph?n bi?n,https://baotintuc.vn/phan-hoi-phan-bien-473ct472.htm,https://baotintuc.vn/phan-hoi-phan-bien-473ct472/trang-[NEXT_PAGE].htm,//li/div/a,
104,Phân tích-Nh?n ??nh,https://baotintuc.vn/phan-tich-nhan-dinh-525ct130.htm,https://baotintuc.vn/phan-tich-nhan-dinh-525ct130/trang-[NEXT_PAGE].htm,//li/div/a,
105,Chuyê?n la? thê? gi??i,https://baotintuc.vn/chuyen-la-the-gioi-162ct130.htm,https://baotintuc.vn/chuyen-la-the-gioi-162ct130/trang-[NEXT_PAGE].htm,//li/div/a,
106,Ng??i Vi?t 4 ph??ng,https://baotintuc.vn/nguoi-viet-4-phuong-478ct130.htm,https://baotintuc.vn/nguoi-viet-4-phuong-478ct130/trang-[NEXT_PAGE].htm,//li/div/a,
107,Th? tr??ng - Ta?i chi?nh,https://baotintuc.vn/thi-truong-tai-chinh-587ct128.htm,https://baotintuc.vn/thi-truong-tai-chinh-587ct128/trang-[NEXT_PAGE].htm,//li/div/a,
108,Doanh nghi?p - Doanh nhân,https://baotintuc.vn/doanh-nghiep-doanh-nhan-145ct128.htm,https://baotintuc.vn/doanh-nghiep-doanh-nhan-145ct128/trang-[NEXT_PAGE].htm,//li/div/a,
109,B?t ??ng s?n,https://baotintuc.vn/bat-dong-san-144ct128.htm,https://baotintuc.vn/bat-dong-san-144ct128/trang-[NEXT_PAGE].htm,//li/div/a,
110,Tài chính – Ngân hàng,https://baotintuc.vn/tai-chinh-ngan-hang-606ct128.htm,https://baotintuc.vn/tai-chinh-ngan-hang-606ct128/trang-[NEXT_PAGE].htm,//li/div/a,
111,Ng??i tiêu dùng,https://baotintuc.vn/nguoi-tieu-dung-147ct128.htm,https://baotintuc.vn/nguoi-tieu-dung-147ct128/trang-[NEXT_PAGE].htm,//li/div/a,
112,V?n ?? quan tâm,https://baotintuc.vn/van-de-quan-tam-149ct129.htm,https://baotintuc.vn/van-de-quan-tam-149ct129/trang-[NEXT_PAGE].htm,//li/div/a,
113,Phóng s? - ?i?u tra,https://baotintuc.vn/phong-su-dieu-tra-581ct129.htm,https://baotintuc.vn/phong-su-dieu-tra-581ct129/trang-[NEXT_PAGE].htm,//li/div/a,
114,Ng???i t?t - Vi?c t?t,https://baotintuc.vn/nguoi-tot-viec-tot-588ct129.htm,https://baotintuc.vn/nguoi-tot-viec-tot-588ct129/trang-[NEXT_PAGE].htm,//li/div/a,
115,M?ng xã h?i,https://baotintuc.vn/mang-xa-hoi-604ct129.htm,https://baotintuc.vn/mang-xa-hoi-604ct129/trang-[NEXT_PAGE].htm,//li/div/a,
116,Chính sách BHXH - BHYT,https://baotintuc.vn/chinh-sach-bhxh-bhyt-591ct129.htm,https://baotintuc.vn/chinh-sach-bhxh-bhyt-591ct129/trang-[NEXT_PAGE].htm,//li/div/a,
117,V?n b?n m?i,https://baotintuc.vn/van-ban-moi-577ct475.htm,https://baotintuc.vn/van-ban-moi-577ct475/trang-[NEXT_PAGE].htm,//li/div/a,
118,An ninh tr?t t?,https://baotintuc.vn/an-ninh-trat-tu-579ct475.htm,https://baotintuc.vn/an-ninh-trat-tu-579ct475/trang-[NEXT_PAGE].htm,//li/div/a,
119,Ch?ng buôn l?u - hàng gi?,https://baotintuc.vn/chong-buon-lau-hang-gia-590ct475.htm,https://baotintuc.vn/chong-buon-lau-hang-gia-590ct475/trang-[NEXT_PAGE].htm,//li/div/a,
120,??i s?ng v?n hoá,https://baotintuc.vn/doi-song-van-hoa-272ct158.htm,https://baotintuc.vn/doi-song-van-hoa-272ct158/trang-[NEXT_PAGE].htm,//li/div/a,
121,Gi?i trí - Sao,https://baotintuc.vn/giai-tri-sao-274ct158.htm,https://baotintuc.vn/giai-tri-sao-274ct158/trang-[NEXT_PAGE].htm,//li/div/a,
122,Du l?ch,https://baotintuc.vn/du-lich-132ct158.htm,https://baotintuc.vn/du-lich-132ct158/trang-[NEXT_PAGE].htm,//li/div/a,
123,Sáng tác,https://baotintuc.vn/sang-tac-487ct158.htm,https://baotintuc.vn/sang-tac-487ct158/trang-[NEXT_PAGE].htm,//li/div/a,
124,?m th?c,https://baotintuc.vn/am-thuc-576ct158.htm,https://baotintuc.vn/am-thuc-576ct158/trang-[NEXT_PAGE].htm,//li/div/a,
125,Tuy?n sinh,https://baotintuc.vn/tuyen-sinh-325ct135.htm,https://baotintuc.vn/tuyen-sinh-325ct135/trang-[NEXT_PAGE].htm,//li/div/a,
126,Du h?c,https://baotintuc.vn/du-hoc-480ct135.htm,https://baotintuc.vn/du-hoc-480ct135/trang-[NEXT_PAGE].htm,//li/div/a,
127,Ba?n tro?n gia?o du?c,https://baotintuc.vn/ban-tron-giao-duc-311ct135.htm,https://baotintuc.vn/ban-tron-giao-duc-311ct135/trang-[NEXT_PAGE].htm,//li/div/a,
128,Bóng ?á,https://baotintuc.vn/bong-da-547ct273.htm,https://baotintuc.vn/bong-da-547ct273/trang-[NEXT_PAGE].htm,//li/div/a,
129,Tennis,https://baotintuc.vn/tennis-549ct273.htm,https://baotintuc.vn/tennis-549ct273/trang-[NEXT_PAGE].htm,//li/div/a,
130,Thê? thao 24h,https://baotintuc.vn/the-thao-24h-548ct273.htm,https://baotintuc.vn/the-thao-24h-548ct273/trang-[NEXT_PAGE].htm,//li/div/a,
131,Chuy?n th? thao,https://baotintuc.vn/chuyen-the-thao-582ct273.htm,https://baotintuc.vn/chuyen-the-thao-582ct273/trang-[NEXT_PAGE].htm,//li/div/a,
132,Gi?i m?t,https://baotintuc.vn/giai-mat-541ct133.htm,https://baotintuc.vn/giai-mat-541ct133/trang-[NEXT_PAGE].htm,//li/div/a,
133,Th? gi?i bí ?n,https://baotintuc.vn/the-gioi-bi-an-561ct133.htm,https://baotintuc.vn/the-gioi-bi-an-561ct133/trang-[NEXT_PAGE].htm,//li/div/a,
134,Nhân v?t - S? ki?n,https://baotintuc.vn/nhan-vat-su-kien-562ct133.htm,https://baotintuc.vn/nhan-vat-su-kien-562ct133/trang-[NEXT_PAGE].htm,//li/div/a,
135,V? án n?i ti?ng,https://baotintuc.vn/vu-an-noi-tieng-563ct133.htm,https://baotintuc.vn/vu-an-noi-tieng-563ct133/trang-[NEXT_PAGE].htm,//li/div/a,
136,H? s? quân s?,https://baotintuc.vn/ho-so-quan-su-556ct514.htm,https://baotintuc.vn/ho-so-quan-su-556ct514/trang-[NEXT_PAGE].htm,//li/div/a,
137,Tâ?p trâ?n - Diê?n tâ?p,https://baotintuc.vn/tap-tran-dien-tap-592ct514.htm,https://baotintuc.vn/tap-tran-dien-tap-592ct514/trang-[NEXT_PAGE].htm,//li/div/a,
138,Quô?c pho?ng,https://baotintuc.vn/quoc-phong-593ct514.htm,https://baotintuc.vn/quoc-phong-593ct514/trang-[NEXT_PAGE].htm,//li/div/a,
139,V? khí khí tài,https://baotintuc.vn/vu-khi-khi-tai-557ct514.htm,https://baotintuc.vn/vu-khi-khi-tai-557ct514/trang-[NEXT_PAGE].htm,//li/div/a,
140,Ô tô xe máy,https://baotintuc.vn/o-to-xe-may-491ct131.htm,https://baotintuc.vn/o-to-xe-may-491ct131/trang-[NEXT_PAGE].htm,//li/div/a,
141,?i?n t? - Vi?n thông,https://baotintuc.vn/dien-tu-vien-thong-492ct131.htm,https://baotintuc.vn/dien-tu-vien-thong-492ct131/trang-[NEXT_PAGE].htm,//li/div/a,
142,Khoa h?c ??i s?ng,https://baotintuc.vn/khoa-hoc-doi-song-515ct131.htm,https://baotintuc.vn/khoa-hoc-doi-song-515ct131/trang-[NEXT_PAGE].htm,//li/div/a,
143,B?o v? ch? quy?n,https://baotintuc.vn/bao-ve-chu-quyen-538ct537.htm,https://baotintuc.vn/bao-ve-chu-quyen-538ct537/trang-[NEXT_PAGE].htm,//li/div/a,
144,Kinh t? bi?n ??o,https://baotintuc.vn/kinh-te-bien-dao-574ct537.htm,https://baotintuc.vn/kinh-te-bien-dao-574ct537/trang-[NEXT_PAGE].htm,//li/div/a,
145,H?i ?áp Lu?t C?nh sát bi?n,https://baotintuc.vn/hoi-dap-luat-canh-sat-bien-596ct537.htm,https://baotintuc.vn/hoi-dap-luat-canh-sat-bien-596ct537/trang-[NEXT_PAGE].htm,//li/div/a,
146,Chính sách,https://baotintuc.vn/chinh-sach-609ct564.htm,https://baotintuc.vn/chinh-sach-609ct564/trang-[NEXT_PAGE].htm,//li/div/a,
147,D?ch b?nh,https://baotintuc.vn/dich-benh-610ct564.htm,https://baotintuc.vn/dich-benh-610ct564/trang-[NEXT_PAGE].htm,//li/div/a,
148,B?nh vi?n – Bác s?,https://baotintuc.vn/benh-vien-bac-si-611ct564.htm,https://baotintuc.vn/benh-vien-bac-si-611ct564/trang-[NEXT_PAGE].htm,//li/div/a,
149,Gi?i tính,https://baotintuc.vn/gioi-tinh-566ct564.htm,https://baotintuc.vn/gioi-tinh-566ct564/trang-[NEXT_PAGE].htm,//li/div/a,
150,??NG,https://vov.vn/chinh-tri/dang,https://vov.vn/chinh-tri/dang?page=[NEXT_PAGE],//div[2]/div/div[1]/div/div/div[1]/div/a,
151,QU?C H?I,https://vov.vn/chinh-tri/quoc-hoi,https://vov.vn/chinh-tri/quoc-hoi?page=[NEXT_PAGE],//div[2]/div/div[1]/div/div/div[1]/div/a,
152,T? CH?C NHÂN S?,https://vov.vn/nhan-su,https://vov.vn/nhan-su?page=[NEXT_PAGE],//div[2]/div/div[1]/div/div/div[1]/div/a,
153,BI?N ??O,https://vov.vn/bien-dao,https://vov.vn/bien-dao?page=[NEXT_PAGE],//div[2]/div/div[1]/div/div/div[1]/div/a,
154,TIN 24H,https://vov.vn/xa-hoi/tin-24h,https://vov.vn/xa-hoi/tin-24h?page=[NEXT_PAGE],//div[2]/div/div[1]/div/div/div[1]/div/a,
